ISSUE,SEVERITY,FILES
The App logs information. Sensitive information should never be logged.,info,se/emilsjolander/stickylistheaders/StickyListHeadersListView.java  rx/internal/util/RxRingBuffer.java  rx/internal/util/IndexedRingBuffer.java  rx/plugins/RxJavaHooks.java  io/fabric/sdk/android/DefaultLogger.java  io/fabric/sdk/android/services/concurrency/AsyncTask.java  io/fabric/sdk/android/services/common/TimingMetric.java  bolts/MeasurementEvent.java  org/productivity/java/syslog4j/SyslogMain.java  org/productivity/java/syslog4j/server/SyslogServerMain.java  org/productivity/java/syslog4j/server/impl/net/tcp/TCPNetSyslogServer.java  org/productivity/java/syslog4j/impl/log4j/Syslog4jAppender.java  org/productivity/java/syslog4j/impl/log4j/Syslog4jAppenderSkeleton.java  org/productivity/java/syslog4j/util/Base64.java  org/altbeacon/beacon/BeaconParser.java  org/altbeacon/beacon/utils/EddystoneTelemetryAccessor.java  org/altbeacon/beacon/logging/InfoAndroidLogger.java  org/altbeacon/beacon/logging/WarningAndroidLogger.java  org/altbeacon/beacon/logging/VerboseAndroidLogger.java  org/slf4j/helpers/Util.java  org/zakariya/stickyheaders/StickyHeaderLayoutManager.java  in/srain/cube/views/GridViewWithHeaderAndFooter.java  ch/qos/logback/core/spi/ContextAwareImpl.java  ch/qos/logback/core/spi/ContextAwareBase.java  ch/qos/logback/core/joran/util/ConfigurationWatchListUtil.java  ch/qos/logback/core/subst/Node.java  ch/qos/logback/core/recovery/ResilientOutputStreamBase.java  ch/qos/logback/core/net/SocketConnectorBase.java  ch/qos/logback/core/net/DefaultSocketConnector.java  ch/qos/logback/classic/spi/ThrowableProxy.java  ch/qos/logback/classic/pattern/TargetLengthBasedClassNameAbbreviator.java  ch/qos/logback/classic/android/LogcatAppender.java  ch/qos/logback/classic/net/SimpleSocketServer.java  butterknife/ButterKnife.java  com/crashlytics/android/core/CrashlyticsCore.java  com/crashlytics/android/core/LogFileManager.java  com/visioglobe/libVisioMove/VgEGLConfigChooser.java  com/visioglobe/VisioSample/Blocks/VgMyRoutingHelper.java  com/visioglobe/VisioSample/Blocks/VgMyMapManagerListParser.java  com/visioglobe/VisioSample/Utils/MapBundleExtractor.java  com/visioglobe/VisioSample/Utils/DownloadHelper.java  com/visioglobe/VisioSample/Utils/UnzipAssetThread.java  com/visioglobe/VisioSample/Utils/CopyAssetThread.java  com/facebook/GraphRequest.java  com/facebook/FacebookContentProvider.java  com/facebook/FacebookSdk.java  com/facebook/GraphRequestAsyncTask.java  com/facebook/AccessTokenManager.java  com/facebook/FacebookActivity.java  com/polestar/models/h.java  com/polestar/models/RegisterGeofenceGPSReceiver.java  com/polestar/models/GeofenceTransition.java  com/polestar/c/b.java  com/polestar/smartparksample/smartpark/SPWakeUpNotifier.java  com/polestar/smartparksample/smartpark/SmartPark.java  com/polestar/smartparksample/smartpark/SPService.java  com/polestar/helpers/Log.java  com/polestar/naosdk/gatt/GattSensorListener.java  com/polestar/naosdk/gatt/GattManager.java  com/polestar/naosdk/controllers/AndroidGeofencingService.java  com/polestar/naosdk/a/b.java  com/polestar/naosdk/managers/e.java  com/polestar/naosdk/managers/f.java  com/polestar/naosdk/managers/d.java  com/polestar/naosdk/managers/b.java  com/polestar/naosdk/managers/NaoServiceManager.java  com/polestar/naosdk/managers/c.java  com/makeramen/roundedimageview/RoundedImageView.java  com/makeramen/roundedimageview/RoundedDrawable.java  com/bumptech/glide/Glide.java  com/bumptech/glide/module/ManifestParser.java  com/bumptech/glide/request/SingleRequest.java  com/bumptech/glide/request/target/ViewTarget.java  com/bumptech/glide/disklrucache/DiskLruCache.java  com/bumptech/glide/util/ContentLengthInputStream.java  com/bumptech/glide/util/pool/FactoryPools.java  com/bumptech/glide/gifdecoder/StandardGifDecoder.java  com/bumptech/glide/gifdecoder/GifHeaderParser.java  com/bumptech/glide/manager/RequestManagerFragment.java  com/bumptech/glide/manager/SupportRequestManagerFragment.java  com/bumptech/glide/manager/RequestManagerRetriever.java  com/bumptech/glide/load/resource/bitmap/HardwareConfigState.java  com/bumptech/glide/load/resource/bitmap/Downsampler.java  com/bumptech/glide/load/resource/bitmap/DefaultImageHeaderParser.java  com/bumptech/glide/load/resource/bitmap/TransformationUtils.java  com/bumptech/glide/load/resource/gif/GifDrawableEncoder.java  com/bumptech/glide/load/resource/gif/StreamGifDecoder.java  com/bumptech/glide/load/resource/gif/ByteBufferGifDecoder.java  com/bumptech/glide/load/engine/DecodePath.java  com/bumptech/glide/load/engine/GlideException.java  com/bumptech/glide/load/engine/DecodeJob.java  com/bumptech/glide/load/engine/SourceGenerator.java  com/bumptech/glide/load/engine/Engine.java  com/bumptech/glide/load/engine/cache/MemorySizeCalculator.java  com/bumptech/glide/load/engine/cache/DiskLruCacheWrapper.java  com/bumptech/glide/load/engine/prefill/BitmapPreFillRunner.java  com/bumptech/glide/load/engine/executor/GlideExecutor.java  com/bumptech/glide/load/engine/bitmap_recycle/LruBitmapPool.java  com/bumptech/glide/load/engine/bitmap_recycle/LruArrayPool.java  com/bumptech/glide/load/data/HttpUrlFetcher.java  com/bumptech/glide/load/data/AssetPathFetcher.java  com/bumptech/glide/load/data/LocalUriFetcher.java  com/bumptech/glide/load/data/mediastore/ThumbFetcher.java  com/bumptech/glide/load/data/mediastore/ThumbnailStreamOpener.java  com/bumptech/glide/load/model/ResourceLoader.java  com/bumptech/glide/load/model/ByteBufferEncoder.java  com/bumptech/glide/load/model/StreamEncoder.java  com/bumptech/glide/load/model/FileLoader.java  com/bumptech/glide/load/model/ByteBufferFileLoader.java  com/unibail/ui/fragment/smartart/SmartArtFragment.java  com/unibail/ui/fragment/news/NewsFragment.java  com/unibail/ui/widget/VideoControllerView.java  com/unibail/ui/component/OptionFooterView.java  com/unibail/ui/camera/CameraSourcePreview.java  com/unibail/ui/camera/CameraSource.java  com/unibail/helper/Logger.java  com/unibail/datas/Centre.java  com/unibail/datas/DataManager.java  com/viewpagerindicator/TabPageIndicator.java  com/edmodo/cropper/CropImageView.java  com/amazonaws/auth/CognitoCachingCredentialsProvider.java  com/gigya/socialize/android/GSAPI.java  com/gigya/socialize/android/ui/WebViewFragment.java  com/gigya/socialize/android/ui/PluginPresentor.java  com/salesforce/marketingcloud/MCLogListener.java  com/salesforce/marketingcloud/e.java  com/brightcove/player/controller/BrightcoveAudioTracksController.java  com/brightcove/player/controller/BrightcoveClosedCaptioningController.java  com/brightcove/player/controller/FullScreenController.java  com/brightcove/player/controller/DefaultSourceSelectionController.java  com/brightcove/player/controller/MediaControlsVisibilityManager.java  com/brightcove/player/controller/VideoPlaybackController.java  com/brightcove/player/display/VideoStillDisplayComponent.java  com/brightcove/player/display/VideoDisplayComponent.java  com/brightcove/player/display/tasks/LoadImageTask.java  com/brightcove/player/event/BackgroundEventListener.java  com/brightcove/player/event/EventEmitterImpl.java  com/brightcove/player/event/InvocationContainer.java  com/brightcove/player/event/Event.java  com/brightcove/player/event/EventLogger.java  com/brightcove/player/event/RegisteringEventEmitter.java  com/brightcove/player/analytics/Analytics.java  com/brightcove/player/media/MediaService.java  com/brightcove/player/media/HttpService.java  com/brightcove/player/media/tasks/FindMediaTask.java  com/brightcove/player/edge/EdgeTask.java  com/brightcove/player/edge/ErrorListener.java  com/brightcove/player/video360/RenderThread.java  com/brightcove/player/video360/ShaderProgram.java  com/brightcove/player/video360/GlUtil.java  com/brightcove/player/management/BrightcoveClosedCaptioningManager.java  com/brightcove/player/management/BrightcovePluginManager.java  com/brightcove/player/mediacontroller/BrightcoveControlBar.java  com/brightcove/player/mediacontroller/BrightcoveSeekBar.java  com/brightcove/player/mediacontroller/BrightcoveShowHideController.java  com/brightcove/player/mediacontroller/BrightcoveSeekBarController.java  com/brightcove/player/mediacontroller/BrightcoveMediaController.java  com/brightcove/player/mediacontroller/BrightcoveMediaControlRegistryImpl.java  com/brightcove/player/mediacontroller/buttons/LiveButtonController.java  com/brightcove/player/mediacontroller/buttons/AbstractButtonController.java  com/brightcove/player/mediacontroller/buttons/ButtonActionHandler.java  com/brightcove/player/mediacontroller/buttons/CaptionsButtonController.java  com/brightcove/player/mediacontroller/buttons/SeekButtonController.java  com/brightcove/player/mediacontroller/buttons/PlayButtonController.java  com/brightcove/player/mediacontroller/buttons/AudioTracksButtonController.java  com/brightcove/player/util/ErrorUtil.java  com/brightcove/player/view/BrightcoveClosedCaptioningView.java  com/brightcove/player/view/BrightcoveVideoView.java  com/brightcove/player/view/BrightcovePlayer.java  com/brightcove/player/view/BrightcovePlayerFragment.java  com/brightcove/player/view/BrightcoveTextureVideoView.java  com/brightcove/player/view/BrightcoveSurfaceView.java  com/brightcove/player/view/BrightcoveTextureView.java  com/brightcove/player/view/BaseVideoView.java  com/brightcove/player/captioning/WebVTTParser.java  com/brightcove/player/captioning/TTMLParser.java  com/brightcove/player/captioning/BrightcoveCaptionStyle.java  com/brightcove/player/captioning/tasks/LoadCaptionsTask.java  com/brightcove/player/model/Video.java  com/brightcove/player/model/MetadataObject.java  com/brightcove/player/model/Length.java
This App uses Java Hash Code. It's a weak hash function and should never be used in Secure Crypto Implementation.,high,se/emilsjolander/stickylistheaders/AdapterWrapper.java  okhttp3/Address.java  okhttp3/HttpUrl.java  okhttp3/CertificatePinner.java  okhttp3/Cookie.java  okhttp3/Handshake.java  okhttp3/MediaType.java  okhttp3/TlsVersion.java  okhttp3/Challenge.java  okhttp3/Route.java  okhttp3/internal/platform/AndroidPlatform.java  okhttp3/internal/http2/Header.java  okhttp3/internal/tls/BasicTrustRootIndex.java  okhttp3/internal/tls/BasicCertificateChainCleaner.java  rx/Notification.java  rx/internal/util/OpenHashSet.java  rx/schedulers/Timestamped.java  rx/schedulers/TimeInterval.java  io/fabric/sdk/android/services/common/AdvertisingInfo.java  bolts/CancellationTokenSource.java  bolts/CancellationToken.java  org/productivity/java/syslog4j/impl/message/structured/StructuredSyslogMessage.java  org/altbeacon/beacon/Beacon.java  org/altbeacon/beacon/Region.java  org/altbeacon/beacon/service/ExtraDataBeaconTracker.java  org/slf4j/helpers/SubstituteLogger.java  org/slf4j/helpers/BasicMarker.java  org/simpleframework/xml/core/KeyBuilder.java  org/simpleframework/xml/core/LabelKey.java  org/simpleframework/xml/core/FieldScanner.java  org/simpleframework/xml/util/WeakCache.java  retrofit2/Utils.java  ch/qos/logback/core/spi/AbstractComponentTracker.java  ch/qos/logback/core/status/StatusBase.java  ch/qos/logback/core/joran/spi/ElementSelector.java  ch/qos/logback/core/joran/spi/HostClassAndPropertyDouble.java  ch/qos/logback/core/pattern/parser/Token.java  ch/qos/logback/core/pattern/parser/SimpleKeywordNode.java  ch/qos/logback/core/pattern/parser/CompositeNode.java  ch/qos/logback/core/pattern/parser/FormattingNode.java  ch/qos/logback/core/pattern/parser/Node.java  ch/qos/logback/core/subst/Token.java  ch/qos/logback/core/subst/Node.java  ch/qos/logback/classic/spi/ThrowableProxyVO.java  ch/qos/logback/classic/spi/StackTraceElementProxy.java  ch/qos/logback/classic/spi/LoggerContextVO.java  ch/qos/logback/classic/spi/ClassPackagingData.java  ch/qos/logback/classic/spi/LoggingEventVO.java  com/crashlytics/android/answers/SamplingEventFilter.java  com/facebook/Profile.java  com/facebook/AccessToken.java  com/squareup/otto/EventHandler.java  com/squareup/otto/EventProducer.java  com/polestar/models/i.java  com/bumptech/glide/request/SingleRequest.java  com/bumptech/glide/util/MultiClassKey.java  com/bumptech/glide/util/Util.java  com/bumptech/glide/signature/ObjectKey.java  com/bumptech/glide/signature/MediaStoreSignature.java  com/bumptech/glide/load/Options.java  com/bumptech/glide/load/Option.java  com/bumptech/glide/load/MultiTransformation.java  com/bumptech/glide/load/resource/bitmap/BitmapDrawableTransformation.java  com/bumptech/glide/load/resource/bitmap/CenterCrop.java  com/bumptech/glide/load/resource/bitmap/CircleCrop.java  com/bumptech/glide/load/resource/bitmap/FitCenter.java  com/bumptech/glide/load/resource/bitmap/CenterInside.java  com/bumptech/glide/load/resource/bitmap/RoundedCorners.java  com/bumptech/glide/load/resource/gif/GifDrawableTransformation.java  com/bumptech/glide/load/engine/DataCacheKey.java  com/bumptech/glide/load/engine/ResourceCacheKey.java  com/bumptech/glide/load/engine/EngineKey.java  com/bumptech/glide/load/engine/prefill/PreFillType.java  com/bumptech/glide/load/engine/bitmap_recycle/SizeConfigStrategy.java  com/bumptech/glide/load/engine/bitmap_recycle/LruArrayPool.java  com/bumptech/glide/load/engine/bitmap_recycle/AttributeStrategy.java  com/bumptech/glide/load/model/GlideUrl.java  com/bumptech/glide/load/model/LazyHeaders.java  com/bumptech/glide/load/model/ModelCache.java  com/unibail/ui/activity/LoyaltyActivity.java  com/unibail/ui/activity/ContainerActivity.java  com/unibail/ui/activity/FeatureNeedsActivity.java  com/unibail/ui/fragment/stores/StoreDetailFragment.java  com/unibail/ui/fragment/stores/AlphabeticalListFragment.java  com/unibail/ui/fragment/loyalty/ConnectionFragment.java  com/unibail/ui/fragment/map/PlanFragment.java  com/unibail/ui/fragment/account/EditProfileFragment.java  com/unibail/datas/bean/PieceOfArt.java  com/unibail/datas/bean/User.java  com/unibail/datas/bean/OrchestratorError.java  com/unibail/datas/bean/WSBean.java  com/unibail/datas/bean/MenuItem.java  com/unibail/datas/bean/CardInfo.java  com/amazonaws/metrics/SimpleMetricType.java  com/amazonaws/services/s3/AmazonS3URI.java  com/amazonaws/services/s3/model/Grant.java  com/amazonaws/services/s3/model/EmailAddressGrantee.java  com/amazonaws/services/s3/model/CanonicalGrantee.java  com/amazonaws/services/s3/model/Owner.java  com/amazonaws/services/s3/model/AccessControlList.java  com/amazonaws/services/s3/model/Tag.java  com/amazonaws/services/securitytoken/model/AssumeRoleRequest.java  com/amazonaws/services/securitytoken/model/GetSessionTokenResult.java  com/amazonaws/services/securitytoken/model/AssumeRoleWithWebIdentityRequest.java  com/amazonaws/services/securitytoken/model/FederatedUser.java  com/amazonaws/services/securitytoken/model/AssumeRoleWithWebIdentityResult.java  com/amazonaws/services/securitytoken/model/GetFederationTokenResult.java  com/amazonaws/services/securitytoken/model/GetCallerIdentityResult.java  com/amazonaws/services/securitytoken/model/Credentials.java  com/amazonaws/services/securitytoken/model/GetFederationTokenRequest.java  com/amazonaws/services/securitytoken/model/AssumeRoleResult.java  com/amazonaws/services/securitytoken/model/GetSessionTokenRequest.java  com/amazonaws/services/securitytoken/model/AssumedRoleUser.java  com/amazonaws/services/kms/model/RetireGrantRequest.java  com/amazonaws/services/kms/model/GenerateDataKeyResult.java  com/amazonaws/services/kms/model/CreateKeyRequest.java  com/amazonaws/services/kms/model/ListGrantsRequest.java  com/amazonaws/services/kms/model/GetParametersForImportRequest.java  com/amazonaws/services/kms/model/ListRetirableGrantsRequest.java  com/amazonaws/services/kms/model/DescribeKeyRequest.java  com/amazonaws/services/kms/model/DisableKeyRotationRequest.java  com/amazonaws/services/kms/model/DecryptRequest.java  com/amazonaws/services/kms/model/CancelKeyDeletionResult.java  com/amazonaws/services/kms/model/DisableKeyRequest.java  com/amazonaws/services/kms/model/GetKeyPolicyResult.java  com/amazonaws/services/kms/model/ScheduleKeyDeletionResult.java  com/amazonaws/services/kms/model/ListKeysResult.java  com/amazonaws/services/kms/model/GenerateRandomResult.java  com/amazonaws/services/kms/model/ImportKeyMaterialRequest.java  com/amazonaws/services/kms/model/GenerateRandomRequest.java  com/amazonaws/services/kms/model/GetKeyPolicyRequest.java  com/amazonaws/services/kms/model/ListKeysRequest.java  com/amazonaws/services/kms/model/KeyListEntry.java  com/amazonaws/services/kms/model/CreateGrantResult.java  com/amazonaws/services/kms/model/RevokeGrantRequest.java  com/amazonaws/services/kms/model/GetKeyRotationStatusResult.java  com/amazonaws/services/kms/model/UpdateKeyDescriptionRequest.java  com/amazonaws/services/kms/model/GenerateDataKeyRequest.java  com/amazonaws/services/kms/model/AliasListEntry.java  com/amazonaws/services/kms/model/ListKeyPoliciesResult.java  com/amazonaws/services/kms/model/GrantConstraints.java  com/amazonaws/services/kms/model/EncryptResult.java  com/amazonaws/services/kms/model/ListRetirableGrantsResult.java  com/amazonaws/services/kms/model/ReEncryptResult.java  com/amazonaws/services/kms/model/DeleteAliasRequest.java  com/amazonaws/services/kms/model/GetKeyRotationStatusRequest.java  com/amazonaws/services/kms/model/ReEncryptRequest.java  com/amazonaws/services/kms/model/GenerateDataKeyWithoutPlaintextResult.java  com/amazonaws/services/kms/model/ScheduleKeyDeletionRequest.java  com/amazonaws/services/kms/model/ListAliasesRequest.java  com/amazonaws/services/kms/model/DecryptResult.java  com/amazonaws/services/kms/model/ListGrantsResult.java  com/amazonaws/services/kms/model/GrantListEntry.java  com/amazonaws/services/kms/model/KeyMetadata.java  com/amazonaws/services/kms/model/ListKeyPoliciesRequest.java  com/amazonaws/services/kms/model/EnableKeyRotationRequest.java  com/amazonaws/services/kms/model/GetParametersForImportResult.java  com/amazonaws/services/kms/model/CancelKeyDeletionRequest.java  com/amazonaws/services/kms/model/CreateKeyResult.java  com/amazonaws/services/kms/model/GenerateDataKeyWithoutPlaintextRequest.java  com/amazonaws/services/kms/model/PutKeyPolicyRequest.java  com/amazonaws/services/kms/model/UpdateAliasRequest.java  com/amazonaws/services/kms/model/CreateGrantRequest.java  com/amazonaws/services/kms/model/ListAliasesResult.java  com/amazonaws/services/kms/model/CreateAliasRequest.java  com/amazonaws/services/kms/model/DescribeKeyResult.java  com/amazonaws/services/kms/model/DeleteImportedKeyMaterialRequest.java  com/amazonaws/services/kms/model/EncryptRequest.java  com/amazonaws/services/kms/model/EnableKeyRequest.java  com/amazonaws/services/cognitoidentity/model/GetIdResult.java  com/amazonaws/services/cognitoidentity/model/GetOpenIdTokenResult.java  com/amazonaws/services/cognitoidentity/model/GetCredentialsForIdentityRequest.java  com/amazonaws/services/cognitoidentity/model/GetCredentialsForIdentityResult.java  com/amazonaws/services/cognitoidentity/model/GetOpenIdTokenRequest.java  com/amazonaws/services/cognitoidentity/model/Credentials.java  com/amazonaws/services/cognitoidentity/model/GetIdRequest.java  com/amazonaws/handlers/RequestHandler2Adaptor.java  com/amazonaws/auth/SessionCredentialsProviderFactory.java  com/amazonaws/auth/policy/Principal.java  com/amazonaws/regions/Region.java  com/gigya/socialize/android/GSLoginRequest.java  com/gigya/socialize/android/ui/WebViewFragment.java  com/gigya/socialize/android/ui/HostActivity.java  com/salesforce/marketingcloud/MCJobIntentService.java  com/salesforce/marketingcloud/b.java  com/salesforce/marketingcloud/MCReceiver.java  com/salesforce/marketingcloud/a.java  com/salesforce/marketingcloud/d/a/b/a.java  com/salesforce/marketingcloud/messages/d.java  com/salesforce/marketingcloud/messages/$AutoValue_Message.java  com/salesforce/marketingcloud/messages/$AutoValue_Region.java  com/salesforce/marketingcloud/messages/b.java  com/salesforce/marketingcloud/messages/a.java  com/salesforce/marketingcloud/messages/c.java  com/salesforce/marketingcloud/messages/push/PushMessageManager.java  com/salesforce/marketingcloud/messages/cloudpage/$AutoValue_CloudPageMessage.java  com/salesforce/marketingcloud/messages/cloudpage/b.java  com/salesforce/marketingcloud/messages/cloudpage/a.java  com/salesforce/marketingcloud/messages/proximity/$AutoValue_ProximityMessageResponse.java  com/salesforce/marketingcloud/messages/proximity/a.java  com/salesforce/marketingcloud/messages/geofence/$AutoValue_GeofenceMessageResponse.java  com/salesforce/marketingcloud/messages/geofence/a.java  com/salesforce/marketingcloud/c/b.java  com/salesforce/marketingcloud/c/a.java  com/salesforce/marketingcloud/analytics/b.java  com/salesforce/marketingcloud/analytics/a.java  com/salesforce/marketingcloud/analytics/c.java  com/salesforce/marketingcloud/analytics/b/e.java  com/salesforce/marketingcloud/analytics/b/d.java  com/salesforce/marketingcloud/analytics/b/b.java  com/salesforce/marketingcloud/analytics/b/a.java  com/salesforce/marketingcloud/analytics/b/c.java  com/salesforce/marketingcloud/location/b.java  com/salesforce/marketingcloud/location/j.java  com/salesforce/marketingcloud/location/a.java  com/salesforce/marketingcloud/registration/$$AutoValue_Attribute.java  com/salesforce/marketingcloud/registration/$AutoValue_Registration.java  com/salesforce/marketingcloud/registration/a.java  com/salesforce/marketingcloud/registration/c.java  com/salesforce/marketingcloud/proximity/a.java  com/salesforce/marketingcloud/proximity/c.java  com/salesforce/marketingcloud/notifications/$$AutoValue_NotificationMessage.java  com/brightcove/player/mediacontroller/buttons/VRButtonController.java  com/brightcove/player/captioning/WebVTTParser.java  com/brightcove/player/captioning/AutoParcel_BrightcoveCaptionStyle.java  com/brightcove/player/captioning/AutoParcel_BrightcoveCaptionFormat.java  com/brightcove/player/captioning/BrightcoveCaptionStyle.java  com/brightcove/player/model/Length.java  android/arch/lifecycle/ReflectiveGenericLifecycleObserver.java
The App uses an insecure Random Number Generator.,high,okhttp3/OkHttpClient.java  okhttp3/internal/ws/WebSocketWriter.java  okhttp3/internal/ws/RealWebSocket.java  okio/Options.java  butterknife/internal/ImmutableList.java  com/crashlytics/android/answers/RandomBackoff.java  com/visioglobe/VisioSample/Blocks/VgMySimulatedLocationProvider.java  com/unibail/ui/fragment/map/PlanFragment.java  com/unibail/ui/fragment/search/SearchFragment.java  com/amazonaws/retry/PredefinedRetryPolicies.java  com/gigya/socialize/GSRequest.java
"Files may contain hardcoded sensitive informations like usernames, passwords, keys etc.",high,rx/internal/schedulers/NewThreadWorker.java  io/fabric/sdk/android/FabricKitsFinder.java  io/fabric/sdk/android/services/settings/SettingsJsonConstants.java  io/fabric/sdk/android/services/common/ApiKey.java  io/fabric/sdk/android/services/common/AbstractSpiCall.java  bolts/MeasurementEvent.java  org/altbeacon/beacon/service/StartRMData.java  org/altbeacon/beacon/service/MonitoringData.java  org/altbeacon/beacon/service/SettingsData.java  org/altbeacon/beacon/service/RangingData.java  ch/qos/logback/core/CoreConstants.java  ch/qos/logback/core/rolling/helper/DateTokenConverter.java  ch/qos/logback/core/rolling/helper/IntegerTokenConverter.java  ch/qos/logback/core/net/ssl/SSL.java  ch/qos/logback/classic/sift/ContextBasedDiscriminator.java  ch/qos/logback/classic/joran/action/ConfigurationAction.java  com/crashlytics/android/beta/AbstractCheckForUpdatesController.java  com/crashlytics/android/core/ManifestUnityVersionProvider.java  com/crashlytics/android/core/PreferenceManager.java  com/crashlytics/android/answers/SessionEvent.java  com/crashlytics/android/answers/SessionEventTransform.java  com/visioglobe/VisioSample/VgMyConfigPreferences.java  com/facebook/GraphRequest.java  com/facebook/LegacyTokenHelper.java  com/facebook/AccessTokenCache.java  com/facebook/GraphResponse.java  com/facebook/FacebookRequestError.java  com/facebook/ProfileCache.java  com/facebook/Profile.java  com/facebook/AccessToken.java  com/polestar/smartparksample/smartpark/SPSettings.java  com/polestar/helpers/PrefHelper.java  com/polestar/naosdk/api/UploadInfo.java  com/polestar/naosdk/fota/BLESettings.java  com/bumptech/glide/manager/RequestManagerRetriever.java  com/bumptech/glide/load/Option.java  com/bumptech/glide/load/engine/DataCacheKey.java  com/bumptech/glide/load/engine/ResourceCacheKey.java  com/bumptech/glide/load/engine/EngineResource.java  com/unibail/Const.java  com/unibail/service/GeolocationService.java  com/unibail/analytics/GAConst.java  com/unibail/helper/UBSharedPreferencesHelper.java  com/unibail/downloader/DownloadService.java  com/amazonaws/services/s3/Headers.java  com/amazonaws/services/s3/model/S3ObjectSummary.java  com/amazonaws/services/s3/model/S3Object.java  com/amazonaws/mobileconnectors/s3/transferutility/TransferService.java  com/amazonaws/mobileconnectors/s3/transferutility/TransferTable.java  com/amazonaws/auth/CognitoCachingCredentialsProvider.java  com/amazonaws/auth/policy/conditions/DateCondition.java  com/amazonaws/auth/policy/conditions/ConditionFactory.java  com/amazonaws/auth/policy/conditions/IpAddressCondition.java  com/amazonaws/auth/policy/conditions/S3ConditionFactory.java  com/gigya/socialize/android/GSPluginFragment.java  com/salesforce/marketingcloud/registration/$$AutoValue_Attribute.java  com/salesforce/marketingcloud/registration/$AutoValue_Registration.java  com/brightcove/player/event/EventEmitterImpl.java
IP Address disclosure,warning,io/fabric/sdk/android/Onboarding.java  io/fabric/sdk/android/Fabric.java  com/crashlytics/android/Crashlytics.java  com/crashlytics/android/beta/Beta.java  com/crashlytics/android/core/CrashlyticsCore.java  com/crashlytics/android/answers/Answers.java
This App may have root detection capabilities.,secure,io/fabric/sdk/android/services/common/CommonUtils.java
Insecure WebView Implementation. Execution of user controlled code in WebView is a critical Security Hole.,warning,bolts/WebViewAppLinkResolver.java
App uses SQLite Database and execute raw SQL query. Untrusted user input in raw SQL queries can cause SQL Injection. Also sensitive information should be encrypted and written to the database.,high,ch/qos/logback/classic/android/SQLiteAppender.java  com/amazonaws/mobileconnectors/s3/transferutility/TransferTable.java  com/salesforce/marketingcloud/d/a/f.java  com/salesforce/marketingcloud/d/a/d.java  com/salesforce/marketingcloud/d/a/j.java  com/salesforce/marketingcloud/d/a/b/d.java  com/salesforce/marketingcloud/d/a/b/b.java  com/salesforce/marketingcloud/d/a/b/a.java  com/salesforce/marketingcloud/d/a/b/c.java  com/salesforce/marketingcloud/d/a/a/a.java
SHA-1 is a weak hash known to have hash collisions.,high,com/facebook/FacebookSdk.java
MD5 is a weak hash known to have hash collisions.,high,com/unibail/cache/URCache.java  com/amazonaws/services/s3/AmazonS3Client.java  com/amazonaws/services/s3/internal/MD5DigestCalculatingInputStream.java  com/amazonaws/util/Md5Utils.java  com/salesforce/marketingcloud/e/h.java
